"paper","da_label","descriptive","inferential","machine_learning","method"
"http://orkg.org/orkg/resource/R195587","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R198663","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R195005","analysis","descriptive",,,"open coding"
"http://orkg.org/orkg/resource/R229340","analysis","descriptive",,,"selective coding"
"http://orkg.org/orkg/resource/R369483","analysis","descriptive",,,"selective coding"
"http://orkg.org/orkg/resource/R195005","analysis","descriptive",,,"selective coding"
"http://orkg.org/orkg/resource/R211411","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R554452","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193336","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193089","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193357","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R193849","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R194054","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R195144","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R195578","analysis","descriptive",,,"thematic analysis"
"http://orkg.org/orkg/resource/R192386","analysis","descriptive",,,"word-tag coding"
"http://orkg.org/orkg/resource/R193089","analysis","descriptive",,,"category coding"
"http://orkg.org/orkg/resource/R192386","analysis","descriptive",,,"category coding"
"http://orkg.org/orkg/resource/R193849","analysis","descriptive",,,"category coding"
"http://orkg.org/orkg/resource/R198724","analysis","descriptive",,,"category coding"
"http://orkg.org/orkg/resource/R288460","analysis","descriptive",,,"category coding"
"http://orkg.org/orkg/resource/R211411","analysis","descriptive",,,"triangulation"
"http://orkg.org/orkg/resource/R192398","analysis","descriptive",,,"triangulation"
"http://orkg.org/orkg/resource/R194054","analysis","descriptive",,,"triangulation"
"http://orkg.org/orkg/resource/R194237","analysis","descriptive",,,"triangulation"
"http://orkg.org/orkg/resource/R200119","analysis","descriptive",,,"triangulation"
"http://orkg.org/orkg/resource/R193406","analysis","descriptive",,,"triangulation"
"http://orkg.org/orkg/resource/R229375","analysis","descriptive",,,"manual analysis"
"http://orkg.org/orkg/resource/R193035","analysis","descriptive",,,"initial coding"
"http://orkg.org/orkg/resource/R193406","analysis","descriptive",,,"initial coding"
"http://orkg.org/orkg/resource/R193035","analysis","descriptive",,,"pattern coding"
"http://orkg.org/orkg/resource/R193035","analysis","descriptive",,,"protocol coding"
"http://orkg.org/orkg/resource/R211121","analysis","descriptive",,,"content analysis"
"http://orkg.org/orkg/resource/R220643","analysis","descriptive",,,"content analysis"
